 ,'(',')','*','+',"','",'-','.','/',':',';','<','=','@','{','}','~',ASSIGN,BOOL_CONST,CASE,CLASS,DARROW,ELSE,ESAC,FI,IF,IN,INHERITS,INT_CONST,ISVOID,LE,LET,LOOP,NEW,NOT,OBJECTID,OF,POOL,STR_CONST,THEN,TYPEID,WHILE,$end,block_expr_list,branch,branch_list,class,class_list,dispatch_expr_list,expr,feature,feature_list,formal,formal_list,let_expr_tail,opt_dispatch_expr_list,opt_feature_list,opt_formal_list,program
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,32,,,,,,
27,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,
30,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,35,,,,,,,,,
31,,,,,,,,,,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,
34,,r42,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,s52,s53,,s54,s55,s56,,s57,s58,s59,s60,,,,,,,,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,62,,,,,,,,,
37,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,63,,,,,,64,,,,,,,,,
38,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,65,,,,,,,,,
39,,r12,r12,r12,r12,r12,r12,r12,,r12,r12,r12,r12,,r12,,,,,,,r12,,r12,,r12,,,,r12,,r12,,,,r12,r12,,r12,,,,,,,,,,,,,,,,,,,
40,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,66,,,,,,,,,
41,s36,,,,,,,,,,,,,s37,,s38,,s39,s40,,,,,,s41,,,s42,s43,,s44,,s45,s46,s47,,,s48,,,s49,,,,,,,,67,,,,,,,,,
